,Model,Family,Instruct,#Params (B),Pretraining Data Size (T),FLOPs (1E21),Upload To Hub Date,IFEval,BBH,MATH Lvl 5,GPQA,MUSR,MMLU-PRO,MMLU,ARC,HellaSwag,TruthfulQA,GSM8K,Winogrande,XWinograd,HumanEval,Arena-Elo,MTBench
20,decilm-7b,decilm,False,7.0,,,,,,,,,,0.5976293892443909,0.5938566552901023,0.8251344353714399,0.4032625331106103,0.4738438210765731,0.7995264404104183,,,,
40,gemma-1.1-2b-it,gemma-1.1-it,False,2.0,,,2024-03-26,0.31,0.32,0.0,0.27,0.34,0.15,,,,,,,,,,
41,gemma-1.1-7b-it,gemma-1.1-it,False,7.0,,,2024-03-26,0.5,0.39,0.03,0.29,0.42,0.26,0.6092,0.6007,0.7614,0.5074000000000001,0.4299,0.6969,,,,
42,gemma-2-2b,gemma-2,False,2.0,,,2024-07-16,0.2,0.37,0.02,0.26,0.42,0.22,,,,,,,,,,
44,gemma-2-9b,gemma-2,False,9.0,,,2024-06-24,0.21,0.54,0.11,0.33,0.45,0.41,,,,,,,,,,
58,gpt2,gpt-2,False,0.124,,,,,,,,,,0.2583371780486034,0.220136518771331,0.3152758414658435,0.4069116400376613,0.0068233510235026,0.5043409629044988,0.4836287229480824,,,
59,gpt2-large,gpt-2,False,0.774,,,,,,,,,,0.2606740306353156,0.257679180887372,0.4561840270862378,0.3871845203558661,0.0083396512509476,0.5540647198105761,,,,
62,internlm2-20b,internlm2,False,20.0,,,,,,,,,,0.6758066862506965,0.6296928327645052,0.832105158334993,0.5126520041244282,0.6793025018953753,0.8555643251775849,,,,
63,internlm2-7b,internlm2,False,7.0,,,,,,,,,,0.6524284758806714,0.5802047781569966,0.8123879705238001,0.4872683928592292,0.6300227445034117,0.8382004735595896,,,,
82,meta-llama-3.1-70b,meta-llama-3.1,False,70.0,,,2024-07-14,0.17,0.63,0.17,0.39,0.46,0.47,,,,,,,,,,
84,meta-llama-3.1-8b,meta-llama-3.1,False,8.0,,,2024-07-14,0.13,0.47,0.05,0.3,0.38,0.32,,,,,,,,,,
87,mistral-7b-v0.1,mistral,False,7.0,,,,,,,,,,0.6416448378492244,0.5998293515358362,0.8331009759012149,0.4215317106968115,0.3707354056103108,0.7861089187056038,0.7818571022215156,0.274390243902439,,
89,mixtral-8x22b-v0.1,mixtral-8x-v0.1,False,22.0,,,2024-04-16,0.26,0.62,0.17,0.38,0.4,0.46,0.7779,0.7065,0.8874,0.5095000000000001,0.7369,0.85,,,,
91,mixtral-8x7b-v0.1,mixtral-8x-v0.1,False,7.0,,,2023-12-01,0.23,0.51,0.09,0.32,0.44,0.39,0.7187839332236227,0.6638225255972696,0.8645688109938259,0.4680543300316138,0.576194086429113,0.8168902920284136,0.8001909669601514,0.3353658536585366,,
95,olmo-1b,olmo,False,1.0,,,2024-04-12,0.22,0.31,0.01,0.26,0.41,0.12,0.2631,0.3456,0.636,0.3292,0.019,0.6109,,,,
96,olmo-7b,olmo,False,7.0,,,2024-04-12,0.27,0.33,0.01,0.27,0.35,0.12,0.2813,0.45649999999999996,0.7731,0.3593,0.0379,0.6938,,,,
123,pythia-12b,pythia,False,12.0,,,2023-02-28,0.25,0.32,0.01,0.25,0.36,0.11,0.2676,0.39590000000000003,0.6881999999999999,0.3185,0.0174,0.6417,,,,
125,pythia-160m,pythia,False,0.16,,,2023-02-08,0.18,0.3,0.0,0.26,0.42,0.11,0.2495,0.2278,0.3034,0.4426,0.0023,0.5154,,,,
128,pythia-2.8b,pythia,False,2.8,,,2023-02-13,0.22,0.32,0.01,0.25,0.35,0.11,,,,,,,,,,
130,pythia-410m,pythia,False,0.41,,,2023-02-13,0.22,0.3,0.0,0.26,0.36,0.11,0.2725,0.2619,0.40850000000000003,0.4122,0.0068000000000000005,0.5312,,,,
132,pythia-6.9b,pythia,False,6.9,,,2023-02-14,0.23,0.32,0.01,0.25,0.36,0.11,,,,,,,,,,
142,qwen1.5-110b,qwen1.5,False,110.0,,,2024-04-25,0.34,0.61,0.23,0.35,0.44,0.54,0.802,0.6997,0.8748,0.4966,0.8105,0.8414,,,,
153,qwen2-0.5b,qwen2,False,0.5,,,2024-05-31,0.19,0.33,0.03,0.26,0.38,0.17,0.4517,0.3191,0.4874,0.39770000000000005,0.35710000000000003,0.5579999999999999,,,,
155,qwen2-1.5b,qwen2,False,1.5,,,2024-05-31,0.21,0.36,0.06,0.26,0.37,0.26,0.5726,0.4428,0.6667000000000001,0.4592,0.5579999999999999,0.6487999999999999,,,,
157,qwen2-72b,qwen2,False,72.0,,,2024-05-22,0.38,0.66,0.29,0.39,0.47,0.57,0.8379000000000001,0.6877,0.8726999999999999,0.5474,0.8529000000000001,0.8445,,,,
159,qwen2-7b,qwen2,False,7.0,,,2024-06-04,0.31,0.53,0.19,0.3,0.44,0.42,0.7045,0.5972999999999999,0.7981999999999999,0.5314,0.7293000000000001,0.7434999999999999,,,,
161,recurrentgemma-2b,recurrentgemma,False,2.0,,,2024-04-06,0.3,0.32,0.02,0.25,0.34,0.12,0.34380000000000005,0.4693,0.7248,0.35009999999999997,0.15689999999999998,0.6827,,,,
163,recurrentgemma-9b,recurrentgemma,False,9.0,,,2024-06-07,0.31,0.39,0.05,0.29,0.38,0.26,,,,,,,,,,
167,rwkv-4-14b-pile,rwkv,False,14.0,,,,,,,,,,0.261243635346663,0.4445392491467577,0.7107149970125473,0.3204219399194067,0.0037907505686125,0.654301499605367,,,,
168,rwkv-4-169m-pile,rwkv,False,0.169,,,,,,,,,,0.2317624001359681,0.2363481228668942,0.3173670583549093,0.4192323633446171,0.0045489006823351,0.5090765588003157,,,,
169,rwkv-4-1b5-pile,rwkv,False,1.0,,,,,,,,,,0.2577446960818849,0.318259385665529,0.5225054769966142,0.3579569610412708,0.0,0.5382794001578532,,,,
170,rwkv-4-3b-pile,rwkv,False,3.0,,,,,,,,,,0.2467087224756061,0.3600682593856655,0.5965943039235212,0.3213702262546504,0.0068233510235026,0.5832675611681136,,,,
171,rwkv-4-430m-pile,rwkv,False,0.43,,,,,,,,,,0.2485496977528651,0.2670648464163822,0.4001194981079466,0.3958221882473183,0.0037907505686125,0.5114443567482242,,,,
172,rwkv-4-7b-pile,rwkv,False,7.0,,,,,,,,,,0.2495936335118899,0.3967576791808874,0.663114917347142,0.3365298312185615,0.0075815011372251,0.6235201262825573,,,,
173,rwkv-raven-14b,rwkv,False,14.0,,,,,,,,,,0.2591933098533766,0.4462457337883959,0.7125074686317466,0.4193256931572423,0.0212282031842304,0.6669297553275454,,,,
176,smollm-1.7b,smollm,False,1.7,,,2024-07-14,0.24,0.32,0.01,0.24,0.34,0.11,,,,,,,,,,
178,smollm-135m,smollm,False,0.135,,,2024-07-14,0.21,0.3,0.01,0.26,0.44,0.11,,,,,,,,,,
180,smollm-360m,smollm,False,0.36,,,2024-07-14,0.21,0.31,0.0,0.27,0.4,0.11,,,,,,,,,,
207,yi-1.5-34b,yi-1.5,False,34.0,,,2024-05-11,0.28,0.6,0.14,0.37,0.42,0.47,0.78,0.6578,0.8611,0.5384,0.7323999999999999,0.8406,,,,
209,yi-1.5-6b,yi-1.5,False,6.0,,,2024-05-11,0.26,0.45,0.06,0.31,0.44,0.31,0.6473,0.5725,0.7792,0.44020000000000004,0.5034000000000001,0.7514,,,,
211,yi-1.5-9b,yi-1.5,False,9.0,,,2024-05-11,0.29,0.51,0.1,0.38,0.43,0.39,0.7073,0.6186,0.8037000000000001,0.46740000000000004,0.627,0.7798,,,,
218,yi-9b,yi,False,9.0,,,2024-03-01,0.27,0.49,0.04,0.32,0.41,0.36,0.7006,0.6118,0.7881999999999999,0.42450000000000004,0.48979999999999996,0.7751,,,,
